Date,Description,Amount
2026-01-05,Whole Foods Market,85.32
2026-01-06,Chipotle Mexican Grill,14.75
2026-01-07,Shell Gas Station,42.00
2026-01-08,Netflix Subscription,15.99
2026-01-09,Campus Bookstore,156.40
2026-01-10,Trader Joes,72.18
2026-01-11,Starbucks Coffee,6.50
2026-01-12,Uber Ride,18.25
2026-01-13,Target Store,45.60
2026-01-14,Dominos Pizza,28.50
2026-01-15,CVS Pharmacy,22.75
2026-01-16,Spotify Premium,10.99
2026-01-17,Safeway Grocery,91.25
2026-01-18,Five Guys Burgers,19.80
2026-01-19,Metro Transit Pass,65.00
2026-01-20,Amazon Purchase,38.99
2026-01-21,Grocery Outlet,54.30
2026-01-22,Subway Sandwich,9.75
2026-01-23,Movie Theater Ticket,16.00
2026-01-24,Walgreens,15.50
2026-01-25,Kroger Grocery,78.40
2026-01-26,Doordash Delivery,32.75
2026-01-27,Gas Station,48.00
2026-01-28,Apple iCloud Storage,2.99
2026-01-29,Whole Foods,68.90
2026-01-30,Panera Bread,12.25
2026-01-31,Lyft Ride,14.50
